fighter,year,weight_class,cumulative_fights,head_tar_pct,body_tar_pct,leg_tar_pct,dist_pos_pct,clinch_pos_pct,ground_pos_pct,ctrl_pct,kd_avg,sub_att_avg,td_pct,sig_str_pct,win_rate,archetype,pca_x,pca_y,height,reach,stance
ABDUL RAKHMAN YAKHYAEV,2025,Light Heavyweight,1,100.0,0.0,0.0,50.0,0.0,50.0,0.7272727272727273,1.0,1.0,100.0,60.0,1.0,Ground & Pound Grappler,5.602293884712252,-3.1141294222110423,187.96,193.04,Orthodox
ABDUL RAZAK ALHASSAN,2016,Welterweight,1,100.0,0.0,0.0,58.0,16.0,25.0,0.1320754716981132,3.0,0.0,0.0,54.0,1.0,Distance Sniper,-0.1624789153158545,-1.5390155336197144,177.8,185.42,Orthodox
ABDUL RAZAK ALHASSAN,2017,Welterweight,3,89.0,4.333333333333333,5.666666666666667,70.0,20.666666666666668,8.333333333333334,0.21808645991469675,1.3333333333333333,0.0,11.0,47.0,0.6666666666666666,Distance Sniper,-0.1624789153158545,-1.5390155336197144,177.8,185.42,Orthodox
ABDUL RAZAK ALHASSAN,2018,Welterweight,5,84.8,6.6,7.6,77.4,16.6,5.0,0.1419163160676583,1.2,0.0,6.6,50.2,0.8,Distance Sniper,-0.1624789153158545,-1.5390155336197144,177.8,185.42,Orthodox
ABDUL RAZAK ALHASSAN,2020,Welterweight,7,71.0,5.857142857142857,22.142857142857142,82.57142857142857,13.0,3.5714285714285716,0.11581324163562896,0.8571428571428571,0.0,8.285714285714286,57.285714285714285,0.5714285714285714,Distance Sniper,-0.1624789153158545,-1.5390155336197144,177.8,185.42,Orthodox
ABDUL RAZAK ALHASSAN,2021,Middleweight,9,72.11111111111111,9.222222222222221,17.666666666666668,82.66666666666667,12.666666666666666,3.7777777777777777,0.09685982700926551,0.7777777777777778,0.0,6.444444444444445,60.55555555555556,0.5555555555555556,Distance Sniper,-0.1624789153158545,-1.5390155336197144,177.8,185.42,Orthodox
ABDUL RAZAK ALHASSAN,2022,Middleweight,10,73.5,8.9,16.5,79.1,12.4,7.5,0.11095162208611675,0.7,0.0,13.3,59.3,0.5,Distance Sniper,-0.1624789153158545,-1.5390155336197144,177.8,185.42,Orthodox
ABDUL RAZAK ALHASSAN,2023,Middleweight,12,70.58333333333333,10.833333333333334,17.5,78.58333333333333,14.25,6.25,0.14204660520567117,0.6666666666666666,0.08333333333333333,11.083333333333334,57.666666666666664,0.5,Distance Sniper,-0.1624789153158545,-1.5390155336197144,177.8,185.42,Orthodox
ABDUL RAZAK ALHASSAN,2024,Middleweight,13,72.84615384615384,10.0,16.153846153846153,72.53846153846153,14.461538461538462,12.076923076923077,0.18725299939982953,0.6153846153846154,0.07692307692307693,10.23076923076923,59.07692307692308,0.5,Distance Sniper,-0.1624789153158545,-1.5390155336197144,177.8,185.42,Orthodox
ABDUL RAZAK ALHASSAN,2025,Middleweight,14,73.07142857142857,10.928571428571429,15.0,71.07142857142857,15.071428571428571,12.857142857142858,0.19926841015698457,0.6428571428571429,0.07142857142857142,9.5,58.5,0.4642857142857143,Distance Sniper,-0.1624789153158545,-1.5390155336197144,177.8,185.42,Orthodox
