year,total_active,Leg Kick Specialist,Ground Controller,Ground & Pound Wrestler,Clinch Boxer,Distance Sniper,Legacy / Historical (Limited Stats),Submission Grappler
1994,34,11.76470588235294,0.0,20.588235294117645,26.47058823529412,5.88235294117647,14.705882352941178,20.588235294117645
1995,31,9.67741935483871,0.0,29.03225806451613,16.129032258064516,3.225806451612903,22.58064516129032,19.35483870967742
1996,33,9.090909090909092,3.0303030303030303,39.39393939393939,18.181818181818183,6.0606060606060606,18.181818181818183,6.0606060606060606
1997,49,10.204081632653061,2.0408163265306123,32.6530612244898,8.16326530612245,12.244897959183673,20.408163265306122,14.285714285714285
1998,31,6.451612903225806,12.903225806451612,22.58064516129032,3.225806451612903,16.129032258064516,9.67741935483871,29.03225806451613
1999,58,6.896551724137931,6.896551724137931,27.586206896551722,8.620689655172415,17.24137931034483,8.620689655172415,24.137931034482758
2000,65,9.230769230769232,3.076923076923077,30.76923076923077,20.0,7.6923076923076925,7.6923076923076925,21.53846153846154
2001,48,16.666666666666664,14.583333333333334,27.083333333333332,6.25,12.5,2.083333333333333,20.833333333333336
2002,66,10.606060606060606,12.121212121212121,28.78787878787879,3.0303030303030303,16.666666666666664,3.0303030303030303,25.757575757575758
2003,57,12.280701754385964,12.280701754385964,29.82456140350877,3.508771929824561,19.298245614035086,0.0,22.807017543859647
2004,54,5.555555555555555,12.962962962962962,25.925925925925924,9.25925925925926,18.51851851851852,0.0,27.77777777777778
2005,102,9.803921568627452,11.76470588235294,19.607843137254903,9.803921568627452,16.666666666666664,1.9607843137254901,30.392156862745097
2006,174,8.045977011494253,17.81609195402299,18.39080459770115,11.494252873563218,14.367816091954023,1.1494252873563218,28.735632183908045
2007,193,7.772020725388601,18.65284974093264,15.025906735751295,9.844559585492227,21.243523316062177,2.5906735751295336,24.870466321243523
2008,219,8.21917808219178,19.17808219178082,11.87214611872146,11.415525114155251,17.80821917808219,1.82648401826484,29.68036529680365
2009,250,6.4,21.2,15.6,8.4,20.8,2.0,25.6
2010,268,5.597014925373134,26.492537313432834,12.686567164179104,6.343283582089552,24.253731343283583,0.7462686567164178,23.88059701492537
2011,340,6.764705882352941,29.705882352941178,9.411764705882353,7.352941176470589,26.176470588235297,0.8823529411764706,19.705882352941178
2012,383,9.660574412532636,31.59268929503917,7.310704960835509,7.310704960835509,27.415143603133156,0.5221932114882507,16.187989556135772
2013,447,7.158836689038031,33.78076062639821,7.158836689038031,7.606263982102908,29.53020134228188,0.8948545861297539,13.870246085011187
2014,565,9.20353982300885,32.743362831858406,6.371681415929204,7.610619469026549,30.973451327433626,0.5309734513274336,12.56637168141593
2015,576,8.333333333333332,34.20138888888889,6.25,6.423611111111111,34.375,0.1736111111111111,10.243055555555555
2016,554,6.678700361010831,31.768953068592058,6.678700361010831,5.956678700361011,38.8086642599278,0.18050541516245489,9.927797833935017
2017,537,8.379888268156424,31.471135940409685,5.21415270018622,5.400372439478584,40.78212290502793,0.0,8.752327746741155
2018,569,8.084358523725834,31.810193321616868,4.569420035149385,4.745166959578207,41.476274165202106,0.17574692442882248,9.13884007029877
2019,589,7.6400679117147705,32.76740237691001,4.074702886247878,4.244482173174872,41.935483870967744,0.3395585738539898,8.998302207130731
2020,576,8.854166666666668,31.07638888888889,3.8194444444444446,3.4722222222222223,41.84027777777778,0.5208333333333333,10.416666666666668
2021,609,10.50903119868637,29.88505747126437,3.4482758620689653,2.134646962233169,42.69293924466338,0.49261083743842365,10.83743842364532
2022,608,10.855263157894738,30.098684210526315,3.125,1.9736842105263157,42.76315789473684,0.3289473684210526,10.855263157894738
2023,623,10.914927768860354,28.892455858747994,3.210272873194221,3.210272873194221,42.69662921348314,0.0,11.075441412520064
2024,628,11.146496815286625,28.02547770700637,3.343949044585987,1.7515923566878981,45.06369426751593,0.0,10.668789808917198
2025,622,10.289389067524116,27.331189710610932,4.983922829581994,2.572347266881029,42.765273311897104,0.482315112540193,11.57556270096463
2026,228,8.771929824561402,26.75438596491228,5.263157894736842,3.508771929824561,45.17543859649123,0.43859649122807015,10.087719298245613
